CMDLINE /home/ryan/docker_build/mandarin3d_slicing/venv/bin/python3 app.py
MEM 0.007812 1708955215.7649
MEM 20.433594 1708955215.8653
MEM 27.730469 1708955215.9656
MEM 32.355469 1708955216.0660
MEM 38.792969 1708955216.1664
MEM 48.046875 1708955216.2667
MEM 61.050781 1708955216.3671
MEM 71.949219 1708955216.4674
MEM 79.019531 1708955216.5678
MEM 80.308594 1708955216.6681
MEM 82.882812 1708955216.7686
MEM 87.433594 1708955216.8689
MEM 90.890625 1708955216.9693
MEM 90.890625 1708955217.0697
MEM 90.890625 1708955217.1701
MEM 90.890625 1708955217.2708
MEM 90.890625 1708955217.3714
MEM 91.664062 1708955217.4718
MEM 92.089844 1708955217.5722
MEM 92.089844 1708955217.6726
MEM 92.089844 1708955217.7730
MEM 92.089844 1708955217.8735
MEM 92.089844 1708955217.9740
MEM 92.089844 1708955218.0746
MEM 92.089844 1708955218.1749
MEM 92.089844 1708955218.2754
MEM 92.089844 1708955218.3758
MEM 92.089844 1708955218.4766
MEM 92.089844 1708955218.5772
MEM 92.089844 1708955218.6776
MEM 92.089844 1708955218.7781
MEM 92.089844 1708955218.8785
MEM 92.089844 1708955218.9789
MEM 92.089844 1708955219.0793
MEM 92.089844 1708955219.1798
MEM 92.089844 1708955219.2803
MEM 92.089844 1708955219.3807
MEM 92.089844 1708955219.4812
MEM 92.089844 1708955219.5816
MEM 92.089844 1708955219.6820
MEM 92.089844 1708955219.7824
MEM 92.089844 1708955219.8828
MEM 92.089844 1708955219.9831
MEM 92.089844 1708955220.0835
MEM 92.089844 1708955220.1839
MEM 92.089844 1708955220.2843
MEM 92.089844 1708955220.3847
MEM 92.089844 1708955220.4851
MEM 92.089844 1708955220.5854
MEM 92.089844 1708955220.6859
MEM 92.089844 1708955220.7865
MEM 92.089844 1708955220.8870
MEM 92.089844 1708955220.9874
MEM 92.089844 1708955221.0878
MEM 92.089844 1708955221.1882
MEM 92.089844 1708955221.2886
MEM 92.089844 1708955221.3890
MEM 92.089844 1708955221.4895
MEM 92.089844 1708955221.5901
MEM 92.089844 1708955221.6905
MEM 92.089844 1708955221.7910
MEM 92.089844 1708955221.8914
MEM 92.089844 1708955221.9919
MEM 92.089844 1708955222.0925
MEM 92.089844 1708955222.1931
MEM 92.089844 1708955222.2937
MEM 92.089844 1708955222.3941
MEM 92.089844 1708955222.4946
MEM 92.089844 1708955222.5950
MEM 92.089844 1708955222.6954
MEM 92.089844 1708955222.7959
MEM 92.089844 1708955222.8964
MEM 92.089844 1708955222.9968
MEM 92.089844 1708955223.0973
MEM 92.089844 1708955223.1977
MEM 92.089844 1708955223.2982
MEM 92.089844 1708955223.3988
MEM 92.089844 1708955223.4993
MEM 92.089844 1708955223.5997
MEM 92.089844 1708955223.7002
MEM 92.089844 1708955223.8007
MEM 92.089844 1708955223.9012
MEM 92.089844 1708955224.0015
MEM 92.089844 1708955224.1019
MEM 92.089844 1708955224.2024
MEM 92.089844 1708955224.3029
MEM 92.089844 1708955224.4034
MEM 92.089844 1708955224.5038
MEM 92.089844 1708955224.6042
MEM 92.089844 1708955224.7045
MEM 92.089844 1708955224.8050
MEM 92.089844 1708955224.9054
MEM 92.089844 1708955225.0058
MEM 92.089844 1708955225.1063
MEM 92.089844 1708955225.2068
MEM 92.089844 1708955225.3072
MEM 92.089844 1708955225.4076
MEM 92.089844 1708955225.5079
MEM 92.089844 1708955225.6083
MEM 92.089844 1708955225.7087
MEM 92.089844 1708955225.8090
MEM 92.089844 1708955225.9094
MEM 92.089844 1708955226.0099
MEM 92.089844 1708955226.1103
MEM 92.089844 1708955226.2110
MEM 92.089844 1708955226.3115
MEM 92.089844 1708955226.4119
MEM 92.089844 1708955226.5123
MEM 92.089844 1708955226.6126
MEM 92.089844 1708955226.7130
MEM 92.089844 1708955226.8135
MEM 92.089844 1708955226.9139
MEM 92.089844 1708955227.0144
MEM 92.089844 1708955227.1150
MEM 92.089844 1708955227.2157
MEM 92.089844 1708955227.3162
MEM 92.089844 1708955227.4167
MEM 92.089844 1708955227.5171
MEM 92.089844 1708955227.6174
MEM 92.089844 1708955227.7179
MEM 92.089844 1708955227.8186
MEM 92.089844 1708955227.9190
MEM 92.089844 1708955228.0196
MEM 92.089844 1708955228.1200
MEM 92.089844 1708955228.2205
MEM 92.089844 1708955228.3209
MEM 92.089844 1708955228.4215
MEM 92.089844 1708955228.5220
MEM 92.089844 1708955228.6224
MEM 92.089844 1708955228.7228
MEM 92.089844 1708955228.8232
MEM 92.089844 1708955228.9237
MEM 92.089844 1708955229.0241
MEM 92.089844 1708955229.1245
MEM 92.089844 1708955229.2249
MEM 92.089844 1708955229.3254
MEM 92.089844 1708955229.4261
MEM 92.089844 1708955229.5265
MEM 92.089844 1708955229.6269
MEM 92.089844 1708955229.7274
MEM 92.089844 1708955229.8279
MEM 92.089844 1708955229.9283
MEM 92.089844 1708955230.0287
MEM 92.089844 1708955230.1291
MEM 92.089844 1708955230.2297
MEM 92.089844 1708955230.3302
MEM 92.089844 1708955230.4306
MEM 92.089844 1708955230.5310
MEM 92.089844 1708955230.6315
MEM 92.089844 1708955230.7319
MEM 92.089844 1708955230.8323
MEM 92.089844 1708955230.9327
MEM 92.089844 1708955231.0330
MEM 92.089844 1708955231.1339
MEM 92.089844 1708955231.2343
MEM 92.089844 1708955231.3348
MEM 92.089844 1708955231.4352
MEM 92.089844 1708955231.5356
MEM 92.089844 1708955231.6360
MEM 92.089844 1708955231.7366
MEM 92.089844 1708955231.8372
MEM 92.089844 1708955231.9377
MEM 92.089844 1708955232.0380
MEM 92.089844 1708955232.1385
MEM 92.089844 1708955232.2392
MEM 92.089844 1708955232.3396
MEM 92.089844 1708955232.4401
MEM 92.089844 1708955232.5407
MEM 92.089844 1708955232.6410
MEM 92.089844 1708955232.7414
MEM 92.089844 1708955232.8421
MEM 92.089844 1708955232.9426
MEM 92.089844 1708955233.0429
MEM 92.089844 1708955233.1433
MEM 92.089844 1708955233.2436
MEM 92.089844 1708955233.3442
MEM 92.089844 1708955233.4447
MEM 92.089844 1708955233.5453
MEM 92.089844 1708955233.6457
MEM 92.089844 1708955233.7461
MEM 92.089844 1708955233.8466
MEM 92.089844 1708955233.9470
MEM 92.089844 1708955234.0474
MEM 92.089844 1708955234.1478
MEM 92.089844 1708955234.2483
MEM 92.089844 1708955234.3487
MEM 92.089844 1708955234.4491
MEM 92.089844 1708955234.5496
MEM 92.089844 1708955234.6500
MEM 92.089844 1708955234.7504
MEM 92.089844 1708955234.8509
MEM 92.089844 1708955234.9513
MEM 92.089844 1708955235.0517
MEM 92.089844 1708955235.1520
MEM 92.089844 1708955235.2524
MEM 92.089844 1708955235.3529
MEM 92.089844 1708955235.4533
MEM 92.089844 1708955235.5537
MEM 92.089844 1708955235.6542
MEM 92.089844 1708955235.7547
MEM 92.089844 1708955235.8551
MEM 92.089844 1708955235.9556
MEM 92.089844 1708955236.0559
MEM 92.089844 1708955236.1565
MEM 92.089844 1708955236.2573
MEM 92.089844 1708955236.3580
MEM 92.089844 1708955236.4584
MEM 92.089844 1708955236.5589
MEM 92.089844 1708955236.6593
MEM 92.089844 1708955236.7597
MEM 92.089844 1708955236.8602
MEM 92.089844 1708955236.9605
